horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
24M,730,Random Walk with Drift,VS-LSTM,2302,0.27521679957807227,0.7831496809641103,729,False
24M,730,Random Walk with Drift,Zero Return,2302,-0.0441607810439645,0.9647762437296483,729,False
24M,730,VS-LSTM,Zero Return,2302,-1.1066688648599043,0.2684371214188044,729,False
2M,60,ARIMA,Adaptive Ensemble,3642,2.1223663155110426,0.033806988565724616,59,False
2M,60,ARIMA,GLS,3642,-1.8498974305092553,0.06432833430880591,59,False
2M,60,ARIMA,GLS-LSTM,3642,-1.5365426156812099,0.1244053542662209,59,False
2M,60,ARIMA,Historical Mean,3642,0.9073096365868465,0.3642430796247256,59,False
2M,60,ARIMA,Historical Median,3642,1.0574341455759084,0.2903134948354402,59,False
2M,60,ARIMA,LSTM,3642,0.17554626118284447,0.8606504239242732,59,False
2M,60,ARIMA,Majority Direction,3642,-3.6059017639883466,0.0003110708064757439,59,False
2M,60,ARIMA,OLS,3642,-2.7006162486257304,0.006921114512645987,59,False
2M,60,ARIMA,Persistence Direction,3642,0.10564596385346608,0.9158632549043846,59,False
2M,60,ARIMA,Random Walk with Drift,3642,0.9073096365868465,0.3642430796247256,59,False
2M,60,ARIMA,VS-LSTM,3642,0.38677527859274596,0.6989225804223262,59,False
2M,60,ARIMA,Zero Return,3642,0.6674436154448409,0.5044888142028114,59,False
2M,60,Adaptive Ensemble,GLS,3642,-1.8500497409834173,0.06430638076563744,59,False
2M,60,Adaptive Ensemble,GLS-LSTM,3642,-1.5367427589515288,0.12435631571555472,59,False
2M,60,Adaptive Ensemble,Historical Mean,3642,-4.1200462545557075,3.787963472867695e-05,59,False
2M,60,Adaptive Ensemble,Historical Median,3642,-3.8559952887661573,0.0001152597073321715,59,False
2M,60,Adaptive Ensemble,LSTM,3642,-3.651464834392769,0.00026074880689286317,59,False
2M,60,Adaptive Ensemble,Majority Direction,3642,-5.507050581614805,3.648954427504236e-08,59,False
2M,60,Adaptive Ensemble,OLS,3642,-4.445449047478981,8.770846776862129e-06,59,False
2M,60,Adaptive Ensemble,Persistence Direction,3642,-3.5961477907834314,0.0003229643578612773,59,False
2M,60,Adaptive Ensemble,Random Walk with Drift,3642,-4.1200462545557075,3.787963472867695e-05,59,False
2M,60,Adaptive Ensemble,VS-LSTM,3642,-3.2180637044137597,0.0012905915024408188,59,False
2M,60,Adaptive Ensemble,Zero Return,3642,-2.2651338098815406,0.023504469419781238,59,False
2M,60,GLS,GLS-LSTM,3642,2.5415557071763604,0.0110360358139161,59,False
2M,60,GLS,Historical Mean,3642,1.8499586734893274,0.06431950619852289,59,False
2M,60,GLS,Historical Median,3642,1.8499628164991002,0.06431890902419979,59,False
2M,60,GLS,LSTM,3642,1.8499079093706883,0.0643268237211756,59,False
2M,60,GLS,Majority Direction,3642,1.8496547300194033,0.06436332916241083,59,False
2M,60,GLS,OLS,3642,1.8496748227606814,0.06436043140429559,59,False
2M,60,GLS,Persistence Direction,3642,1.849904491727497,0.06432731639071276,59,False
2M,60,GLS,Random Walk with Drift,3642,1.8499586734893274,0.06431950619852289,59,False
2M,60,GLS,VS-LSTM,3642,1.8499215103504338,0.06432486310605556,59,False
2M,60,GLS,Zero Return,3642,1.8499427605254857,0.06432179993911835,59,False
2M,60,GLS-LSTM,Historical Mean,3642,1.536622416712523,0.12438579983031461,59,False
2M,60,GLS-LSTM,Historical Median,3642,1.5366288113710243,0.1243842329876681,59,False
2M,60,GLS-LSTM,LSTM,3642,1.536557704816406,0.12440165664236846,59,False
2M,60,GLS-LSTM,Majority Direction,3642,1.53620479630613,0.12448816005162477,59,False
2M,60,GLS-LSTM,OLS,3642,1.5362260005041743,0.1244829612457734,59,False
2M,60,GLS-LSTM,Persistence Direction,3642,1.5365524453479158,0.12440294547628916,59,False
2M,60,GLS-LSTM,Random Walk with Drift,3642,1.536622416712523,0.12438579983031461,59,False
2M,60,GLS-LSTM,VS-LSTM,3642,1.536575824038647,0.12439721660268721,59,False
2M,60,GLS-LSTM,Zero Return,3642,1.5366041170517286,0.12439028376529726,59,False
2M,60,Historical Mean,Historical Median,3642,0.9463928149032494,0.34394826878021667,59,False
2M,60,Historical Mean,LSTM,3642,-1.0108098480195145,0.3121074487591109,59,False
2M,60,Historical Mean,Majority Direction,3642,-4.880650014047246,1.0573674618097328e-06,59,False
2M,60,Historical Mean,OLS,3642,-3.7046013426701587,0.00021172344967790302,59,False
2M,60,Historical Mean,Persistence Direction,3642,-1.0872420597222807,0.27692984732704007,59,False
2M,60,Historical Mean,Random Walk with Drift,3642,,,59,False
2M,60,Historical Mean,VS-LSTM,3642,-0.6222766925100853,0.5337599443046404,59,False
2M,60,Historical Mean,Zero Return,3642,0.01447868105135249,0.9884480875385604,59,False
2M,60,Historical Median,LSTM,3642,-1.6833995503402004,0.09229777026154018,59,False
2M,60,Historical Median,Majority Direction,3642,-4.422509065465133,9.756125441295893e-06,59,False
2M,60,Historical Median,OLS,3642,-3.547232369718057,0.00038930106040235835,59,False
2M,60,Historical Median,Persistence Direction,3642,-1.7823103205355098,0.07469864062228071,59,False
2M,60,Historical Median,Random Walk with Drift,3642,-0.9463928149032494,0.34394826878021667,59,False
2M,60,Historical Median,VS-LSTM,3642,-1.2058438663120994,0.22787769795899382,59,False
2M,60,Historical Median,Zero Return,3642,-0.2885131036139556,0.7729540015327541,59,False
2M,60,LSTM,Majority Direction,3642,-3.1185113949057186,0.0018176711325084138,59,False
2M,60,LSTM,OLS,3642,-2.804060546212945,0.0050463427698075325,59,False
2M,60,LSTM,Persistence Direction,3642,-0.26904126499937114,0.7878979280770806,59,False
2M,60,LSTM,Random Walk with Drift,3642,1.0108098480195145,0.3121074487591109,59,False
2M,60,LSTM,VS-LSTM,3642,0.988979212665674,0.322673312279407,59,False
2M,60,LSTM,Zero Return,3642,1.7752199323522329,0.07586157980961095,59,False
2M,60,Majority Direction,OLS,3642,-0.20396903310972694,0.8383776981781854,59,False
2M,60,Majority Direction,Persistence Direction,3642,2.9448019446573395,0.003231614530138538,59,False
2M,60,Majority Direction,Random Walk with Drift,3642,4.880650014047246,1.0573674618097328e-06,59,False
2M,60,Majority Direction,VS-LSTM,3642,3.2749791427854076,0.0010566977500263697,59,False
2M,60,Majority Direction,Zero Return,3642,3.1660347003255143,0.001545323578813429,59,False
2M,60,OLS,Persistence Direction,3642,2.597523685600177,0.009389864409174109,59,False
2M,60,OLS,Random Walk with Drift,3642,3.7046013426701587,0.00021172344967790302,59,False
2M,60,OLS,VS-LSTM,3642,2.8576689668199293,0.004267653533576166,59,False
2M,60,OLS,Zero Return,3642,2.8204403447810993,0.004795778950863472,59,False
2M,60,Persistence Direction,Random Walk with Drift,3642,1.0872420597222807,0.27692984732704007,59,False
2M,60,Persistence Direction,VS-LSTM,3642,0.9625781130137648,0.3357592856354905,59,False
2M,60,Persistence Direction,Zero Return,3642,4.102490477444103,4.087266822527802e-05,59,False
2M,60,Random Walk with Drift,VS-LSTM,3642,-0.6222766925100853,0.5337599443046404,59,False
2M,60,Random Walk with Drift,Zero Return,3642,0.01447868105135249,0.9884480875385604,59,False
2M,60,VS-LSTM,Zero Return,3642,1.0834162801341347,0.27862369269984866,59,False
36M,1095,ARIMA,Adaptive Ensemble,1572,5.04348440504093,4.5713004026559645e-07,1094,False
36M,1095,ARIMA,GLS,1572,-2.0754205957400846,0.03794757101407953,1094,False
36M,1095,ARIMA,GLS-LSTM,1572,-0.6799301731658203,0.49654867531773506,1094,False
36M,1095,ARIMA,Historical Mean,1572,-1.7301904079729924,0.08359626154233468,1094,False
36M,1095,ARIMA,Historical Median,1572,-8.814238376554847,0.0,1094,False
36M,1095,ARIMA,LSTM,1572,2.5089541701701594,0.012108919358620573,1094,False
36M,1095,ARIMA,Majority Direction,1572,-1.8234575685845906,0.06823411798675538,1094,False
36M,1095,ARIMA,OLS,1572,-0.7858256732195361,0.43196962369781056,1094,False
36M,1095,ARIMA,Persistence Direction,1572,-6.599940192168165,4.11324307947325e-11,1094,False
36M,1095,ARIMA,Random Walk with Drift,1572,-1.7301904079729924,0.08359626154233468,1094,False
36M,1095,ARIMA,VS-LSTM,1572,1.7478851352755815,0.08048391930978749,1094,False
36M,1095,ARIMA,Zero Return,1572,0.17764052131626942,0.8590052992188364,1094,False
36M,1095,Adaptive Ensemble,GLS,1572,-2.5852003425015653,0.00973224289962249,1094,False
36M,1095,Adaptive Ensemble,GLS-LSTM,1572,-4.112298183563137,3.917398758379598e-05,1094,False
36M,1095,Adaptive Ensemble,Historical Mean,1572,-4.447542535621428,8.685826322851753e-06,1094,False
36M,1095,Adaptive Ensemble,Historical Median,1572,-8.296455771904682,0.0,1094,False
36M,1095,Adaptive Ensemble,LSTM,1572,-6.135388091520757,8.495155690013689e-10,1094,False
36M,1095,Adaptive Ensemble,Majority Direction,1572,-4.472761919004772,7.72157328143841e-06,1094,False
36M,1095,Adaptive Ensemble,OLS,1572,-3.628069992734003,0.0002855478572230119,1094,False
36M,1095,Adaptive Ensemble,Persistence Direction,1572,-13.430704460285051,0.0,1094,False
36M,1095,Adaptive Ensemble,Random Walk with Drift,1572,-4.447542535621428,8.685826322851753e-06,1094,False
36M,1095,Adaptive Ensemble,VS-LSTM,1572,-8.90009464907279,0.0,1094,False
36M,1095,Adaptive Ensemble,Zero Return,1572,-3.917612607374663,8.943027296060002e-05,1094,False
36M,1095,GLS,GLS-LSTM,1572,2.1230893148066143,0.03374636823769017,1094,False
36M,1095,GLS,Historical Mean,1572,1.9970052917714396,0.04582460814243339,1094,False
36M,1095,GLS,Historical Median,1572,1.8739362780556656,0.06093920847703327,1094,False
36M,1095,GLS,LSTM,1572,2.435449960614903,0.014873281602684196,1094,False
36M,1095,GLS,Majority Direction,1572,1.9945401856006573,0.04609305289976939,1094,False
36M,1095,GLS,OLS,1572,2.103971264309891,0.035380953718855856,1094,False
36M,1095,GLS,Persistence Direction,1572,0.9989263020776039,0.317830393741694,1094,False
36M,1095,GLS,Random Walk with Drift,1572,1.9970052917714396,0.04582460814243339,1094,False
36M,1095,GLS,VS-LSTM,1572,2.3756815307894885,0.017516573839130967,1094,False
36M,1095,GLS,Zero Return,1572,2.3829988722569118,0.017172246937124713,1094,False
36M,1095,GLS-LSTM,Historical Mean,1572,0.42728446752873456,0.6691721446827721,1094,False
36M,1095,GLS-LSTM,Historical Median,1572,-0.2661428555152369,0.7901291908694865,1094,False
36M,1095,GLS-LSTM,LSTM,1572,3.236087477379035,0.0012118024138052519,1094,False
36M,1095,GLS-LSTM,Majority Direction,1572,0.4170123397937572,0.6766693818810152,1094,False
36M,1095,GLS-LSTM,OLS,1572,-0.8382074014117209,0.4019142309230461,1094,False
36M,1095,GLS-LSTM,Persistence Direction,1572,-9.626248815066566,0.0,1094,False
36M,1095,GLS-LSTM,Random Walk with Drift,1572,0.42728446752873456,0.6691721446827721,1094,False
36M,1095,GLS-LSTM,VS-LSTM,1572,2.5618681044060274,0.010411084815741711,1094,False
36M,1095,GLS-LSTM,Zero Return,1572,2.2692088452892545,0.02325562862533248,1094,False
36M,1095,Historical Mean,Historical Median,1572,-4.450085544202624,8.583609226286981e-06,1094,False
36M,1095,Historical Mean,LSTM,1572,2.45836931141475,0.013956956456738556,1094,False
36M,1095,Historical Mean,Majority Direction,1572,-12.09888422823753,0.0,1094,False
36M,1095,Historical Mean,OLS,1572,-0.555404855002961,0.5786177725366575,1094,False
36M,1095,Historical Mean,Persistence Direction,1572,-5.66502323868081,1.4700461292704858e-08,1094,False
36M,1095,Historical Mean,Random Walk with Drift,1572,,,1094,False
36M,1095,Historical Mean,VS-LSTM,1572,1.811202443424514,0.07010952012766403,1094,False
36M,1095,Historical Mean,Zero Return,1572,0.38628174587212283,0.6992880180638477,1094,False
36M,1095,Historical Median,LSTM,1572,5.035293383380454,4.77117515274017e-07,1094,False
36M,1095,Historical Median,Majority Direction,1572,4.394348770602399,1.1110531691782555e-05,1094,False
36M,1095,Historical Median,OLS,1572,0.033069059006803785,0.9736195165844186,1094,False
36M,1095,Historical Median,Persistence Direction,1572,-5.581706997861327,2.3816936867149252e-08,1094,False
36M,1095,Historical Median,Random Walk with Drift,1572,4.450085544202624,8.583609226286981e-06,1094,False
36M,1095,Historical Median,VS-LSTM,1572,4.081224422483791,4.479907226184743e-05,1094,False
36M,1095,Historical Median,Zero Return,1572,1.3537834619591815,0.17580547141114833,1094,False
36M,1095,LSTM,Majority Direction,1572,-2.4797529533608325,0.01314734389406813,1094,False
36M,1095,LSTM,OLS,1572,-2.999173246278112,0.0027071332520745006,1094,False
36M,1095,LSTM,Persistence Direction,1572,-12.594195113349448,0.0,1094,False
36M,1095,LSTM,Random Walk with Drift,1572,-2.45836931141475,0.013956956456738556,1094,False
36M,1095,LSTM,VS-LSTM,1572,-5.560346535406574,2.6923951068624774e-08,1094,False
36M,1095,LSTM,Zero Return,1572,-2.4579404984721354,0.013973632392540347,1094,False
36M,1095,Majority Direction,OLS,1572,-0.5463025798963915,0.5848579631423825,1094,False
36M,1095,Majority Direction,Persistence Direction,1572,-5.653271732167412,1.5742213310687703e-08,1094,False
36M,1095,Majority Direction,Random Walk with Drift,1572,12.09888422823753,0.0,1094,False
36M,1095,Majority Direction,VS-LSTM,1572,1.8318940086640387,0.0669672133622794,1094,False
36M,1095,Majority Direction,Zero Return,1572,0.3986092426345282,0.6901811502461928,1094,False
36M,1095,OLS,Persistence Direction,1572,-7.705937961722293,1.2878587085651816e-14,1094,False
36M,1095,OLS,Random Walk with Drift,1572,0.555404855002961,0.5786177725366575,1094,False
36M,1095,OLS,VS-LSTM,1572,2.434524988857752,0.01491135021147394,1094,False
36M,1095,OLS,Zero Return,1572,2.1170308186815245,0.03425723230045041,1094,False
36M,1095,Persistence Direction,Random Walk with Drift,1572,5.66502323868081,1.4700461292704858e-08,1094,False
36M,1095,Persistence Direction,VS-LSTM,1572,12.847035915375075,0.0,1094,False
36M,1095,Persistence Direction,Zero Return,1572,24.948076472386806,0.0,1094,False
36M,1095,Random Walk with Drift,VS-LSTM,1572,1.811202443424514,0.07010952012766403,1094,False
36M,1095,Random Walk with Drift,Zero Return,1572,0.38628174587212283,0.6992880180638477,1094,False
36M,1095,VS-LSTM,Zero Return,1572,-1.685948831665186,0.09180565530275442,1094,False
3M,90,ARIMA,Adaptive Ensemble,3582,2.429078280849569,0.015137263624008135,89,False
3M,90,ARIMA,GLS,3582,-1.2673243858726002,0.20503932442869477,89,False
3M,90,ARIMA,GLS-LSTM,3582,-1.1268095216471332,0.2598230238905028,89,False
3M,90,ARIMA,Historical Mean,3582,0.44950866173199766,0.6530647611172786,89,False
3M,90,ARIMA,Historical Median,3582,0.6368877403613665,0.5241979688893927,89,False
3M,90,ARIMA,LSTM,3582,-0.057553796218618954,0.9541040539030063,89,False
3M,90,ARIMA,Majority Direction,3582,-2.7647380741356966,0.005696851896030308,89,False
3M,90,ARIMA,OLS,3582,-2.5325557718220963,0.011323435464083875,89,False
3M,90,ARIMA,Persistence Direction,3582,-0.27046738227317346,0.7868007072855561,89,False
3M,90,ARIMA,Random Walk with Drift,3582,0.44950866173199766,0.6530647611172786,89,False
3M,90,ARIMA,VS-LSTM,3582,0.24762198912845873,0.804426895625191,89,False
3M,90,ARIMA,Zero Return,3582,0.4358644103028571,0.6629351081996897,89,False
3M,90,Adaptive Ensemble,GLS,3582,-1.267547328653236,0.2049596517303427,89,False
3M,90,Adaptive Ensemble,GLS-LSTM,3582,-1.1270790820802454,0.25970904656548743,89,False
3M,90,Adaptive Ensemble,Historical Mean,3582,-6.00200577740598,1.948947669916379e-09,89,False
3M,90,Adaptive Ensemble,Historical Median,3582,-5.362885768459967,8.190280520459225e-08,89,False
3M,90,Adaptive Ensemble,LSTM,3582,-3.623557826350318,0.000290578201197933,89,False
3M,90,Adaptive Ensemble,Majority Direction,3582,-5.262688435189655,1.4196404052313483e-07,89,False
3M,90,Adaptive Ensemble,OLS,3582,-3.8181765389430984,0.00013444170862486615,89,False
3M,90,Adaptive Ensemble,Persistence Direction,3582,-4.220719101541439,2.435242344289712e-05,89,False
3M,90,Adaptive Ensemble,Random Walk with Drift,3582,-6.00200577740598,1.948947669916379e-09,89,False
3M,90,Adaptive Ensemble,VS-LSTM,3582,-3.245589699775308,0.0011720763295095527,89,False
3M,90,Adaptive Ensemble,Zero Return,3582,-2.555827989776142,0.010593547135691939,89,False
3M,90,GLS,GLS-LSTM,3582,1.7957026845477915,0.07254181471464882,89,False
3M,90,GLS,Historical Mean,3582,1.2673656382441612,0.20502458043841454,89,False
3M,90,GLS,Historical Median,3582,1.2673762763881011,0.20502077838952593,89,False
3M,90,GLS,LSTM,3582,1.2673193213864413,0.20504113457738304,89,False
3M,90,GLS,Majority Direction,3582,1.2670047197605157,0.20515360227133161,89,False
3M,90,GLS,OLS,3582,1.2667175199848537,0.20525631316222026,89,False
3M,90,GLS,Persistence Direction,3582,1.2673045240859204,0.20504642349523183,89,False
3M,90,GLS,Random Walk with Drift,3582,1.2673656382441612,0.20502458043841454,89,False
3M,90,GLS,VS-LSTM,3582,1.2673491828084678,0.20503046167535777,89,False
3M,90,GLS,Zero Return,3582,1.2673693356433031,0.20502325899040574,89,False
3M,90,GLS-LSTM,Historical Mean,3582,1.1268580597656326,0.25980249812626477,89,False
3M,90,GLS-LSTM,Historical Median,3582,1.1268715705239651,0.2597967849063476,89,False
3M,90,GLS-LSTM,LSTM,3582,1.1268028591440429,0.25982584141258735,89,False
3M,90,GLS-LSTM,Majority Direction,3582,1.1264129062455868,0.2599907863898294,89,False
3M,90,GLS-LSTM,OLS,3582,1.1260615177740305,0.2601394811905422,89,False
3M,90,GLS-LSTM,Persistence Direction,3582,1.126784120732312,0.2598337658583596,89,False
3M,90,GLS-LSTM,Random Walk with Drift,3582,1.1268580597656326,0.25980249812626477,89,False
3M,90,GLS-LSTM,VS-LSTM,3582,1.1268385742322784,0.2598107380195547,89,False
3M,90,GLS-LSTM,Zero Return,3582,1.1268637978401503,0.25980007168769026,89,False
3M,90,Historical Mean,Historical Median,3582,0.7913112094386211,0.4287624087923385,89,False
3M,90,Historical Mean,LSTM,3582,-0.6465281363107879,0.5179373815062354,89,False
3M,90,Historical Mean,Majority Direction,3582,-3.9501066818335753,7.811636754784246e-05,89,False
3M,90,Historical Mean,OLS,3582,-3.1074193137454,0.0018872849638151834,89,False
3M,90,Historical Mean,Persistence Direction,3582,-0.9906843257270324,0.32183974711697694,89,False
3M,90,Historical Mean,Random Walk with Drift,3582,,,89,False
3M,90,Historical Mean,VS-LSTM,3582,-0.17323645449937977,0.8624655702654078,89,False
3M,90,Historical Mean,Zero Return,3582,0.1542005291782653,0.8774516249573332,89,False
3M,90,Historical Median,LSTM,3582,-1.0570448263880874,0.2904911297716575,89,False
3M,90,Historical Median,Majority Direction,3582,-3.4820778110606225,0.0004975390952708381,89,False
3M,90,Historical Median,OLS,3582,-2.9897654799127276,0.002791917136261146,89,False
3M,90,Historical Median,Persistence Direction,3582,-1.697957420007138,0.08951579860453118,89,False
3M,90,Historical Median,Random Walk with Drift,3582,-0.7913112094386211,0.4287624087923385,89,False
3M,90,Historical Median,VS-LSTM,3582,-0.5531931448431624,0.5801311605573345,89,False
3M,90,Historical Median,Zero Return,3582,-0.06508470111967243,0.9481065613419923,89,False
3M,90,LSTM,Majority Direction,3582,-2.3861460805713866,0.017025986518325764,89,False
3M,90,LSTM,OLS,3582,-2.5610434228795254,0.010435831172431298,89,False
3M,90,LSTM,Persistence Direction,3582,-0.435939167548535,0.6628808665204768,89,False
3M,90,LSTM,Random Walk with Drift,3582,0.6465281363107879,0.5179373815062354,89,False
3M,90,LSTM,VS-LSTM,3582,0.6267405038391255,0.5308293489194851,89,False
3M,90,LSTM,Zero Return,3582,1.0545274872030443,0.291641482870749,89,False
3M,90,Majority Direction,OLS,3582,-1.784035939147754,0.07441782548082077,89,False
3M,90,Majority Direction,Persistence Direction,3582,2.134184485148398,0.03282768220717913,89,False
3M,90,Majority Direction,Random Walk with Drift,3582,3.9501066818335753,7.811636754784246e-05,89,False
3M,90,Majority Direction,VS-LSTM,3582,2.459504073991237,0.013912911854264465,89,False
3M,90,Majority Direction,Zero Return,3582,2.409811127408155,0.015960780804992636,89,False
3M,90,OLS,Persistence Direction,3582,2.368637029934717,0.017853765319504555,89,False
3M,90,OLS,Random Walk with Drift,3582,3.1074193137454,0.0018872849638151834,89,False
3M,90,OLS,VS-LSTM,3582,2.5382909815615156,0.011139532207805836,89,False
3M,90,OLS,Zero Return,3582,2.5498924246645442,0.010775616301476276,89,False
3M,90,Persistence Direction,Random Walk with Drift,3582,0.9906843257270324,0.32183974711697694,89,False
3M,90,Persistence Direction,VS-LSTM,3582,2.428686095260734,0.015153646055427128,89,False
3M,90,Persistence Direction,Zero Return,3582,4.605185920759464,4.120975179544573e-06,89,False
3M,90,Random Walk with Drift,VS-LSTM,3582,-0.17323645449937977,0.8624655702654078,89,False
3M,90,Random Walk with Drift,Zero Return,3582,0.1542005291782653,0.8774516249573332,89,False
3M,90,VS-LSTM,Zero Return,3582,0.8594438135563078,0.3900957060890784,89,False
6M,180,ARIMA,Adaptive Ensemble,3402,2.97038005303093,0.002974315310005027,179,False
6M,180,ARIMA,GLS,3402,-1.920349197971067,0.05481380590546325,179,False
6M,180,ARIMA,GLS-LSTM,3402,-1.5269227358529962,0.126780225255956,179,False
6M,180,ARIMA,Historical Mean,3402,0.5486641702348963,0.5832359391848048,179,False
6M,180,ARIMA,Historical Median,3402,0.5569707428174011,0.5775474188954406,179,False
6M,180,ARIMA,LSTM,3402,0.18048708939563604,0.8567701891305526,179,False
6M,180,ARIMA,Majority Direction,3402,-1.191809260613643,0.23333604380867046,179,False
6M,180,ARIMA,OLS,3402,-2.127393359965693,0.033387413398370924,179,False
6M,180,ARIMA,Persistence Direction,3402,-0.7743568631321042,0.438719785620012,179,False
6M,180,ARIMA,Random Walk with Drift,3402,0.5486641702348963,0.5832359391848048,179,False
6M,180,ARIMA,VS-LSTM,3402,0.148846610534184,0.8816746703885807,179,False
6M,180,ARIMA,Zero Return,3402,0.4192993588802157,0.6749973650667407,179,False
6M,180,Adaptive Ensemble,GLS,3402,-2.4439905965889954,0.014525805138564607,179,False
6M,180,Adaptive Ensemble,GLS-LSTM,3402,-3.03559098198582,0.0024006478250468977,179,False
6M,180,Adaptive Ensemble,Historical Mean,3402,-3.7366092000238025,0.00018651846719719423,179,False
6M,180,Adaptive Ensemble,Historical Median,3402,-3.994494473219516,6.48324336691708e-05,179,False
6M,180,Adaptive Ensemble,LSTM,3402,-4.254189372223673,2.0980768796086124e-05,179,False
6M,180,Adaptive Ensemble,Majority Direction,3402,-3.512574368720836,0.00044378778613851644,179,False
6M,180,Adaptive Ensemble,OLS,3402,-3.1322622961148054,0.00173464827991765,179,False
6M,180,Adaptive Ensemble,Persistence Direction,3402,-6.097787988701598,1.0754626078579577e-09,179,False
6M,180,Adaptive Ensemble,Random Walk with Drift,3402,-3.7366092000238025,0.00018651846719719423,179,False
6M,180,Adaptive Ensemble,VS-LSTM,3402,-4.209481652473756,2.5595722554339062e-05,179,False
6M,180,Adaptive Ensemble,Zero Return,3402,-2.887222344824313,0.0038865946916137872,179,False
6M,180,GLS,GLS-LSTM,3402,1.4481666924227483,0.14757043727405406,179,False
6M,180,GLS,Historical Mean,3402,2.0934125470035525,0.036312343340102915,179,False
6M,180,GLS,Historical Median,3402,2.110666590114958,0.03480097960894679,179,False
6M,180,GLS,LSTM,3402,1.979561971029222,0.04775276971931297,179,False
6M,180,GLS,Majority Direction,3402,1.8048742076342323,0.07109436871439478,179,False
6M,180,GLS,OLS,3402,1.2661772475209125,0.20544963140204553,179,False
6M,180,GLS,Persistence Direction,3402,1.841931016961843,0.06548524094479125,179,False
6M,180,GLS,Random Walk with Drift,3402,2.0934125470035525,0.036312343340102915,179,False
6M,180,GLS,VS-LSTM,3402,1.962255004671991,0.049732802919678853,179,False
6M,180,GLS,Zero Return,3402,2.0163768963075945,0.04376057953209034,179,False
6M,180,GLS-LSTM,Historical Mean,3402,1.764099002040954,0.07771531247558028,179,False
6M,180,GLS-LSTM,Historical Median,3402,1.8028360641106789,0.07141396449026938,179,False
6M,180,GLS-LSTM,LSTM,3402,1.7995000043205638,0.07193962323626013,179,False
6M,180,GLS-LSTM,Majority Direction,3402,0.644360430924949,0.5193417371115978,179,False
6M,180,GLS-LSTM,OLS,3402,-0.3112796663995809,0.7555880238329671,179,False
6M,180,GLS-LSTM,Persistence Direction,3402,1.4663435941622258,0.14255470467866793,179,False
6M,180,GLS-LSTM,Random Walk with Drift,3402,1.764099002040954,0.07771531247558028,179,False
6M,180,GLS-LSTM,VS-LSTM,3402,1.83166956600098,0.06700066553270889,179,False
6M,180,GLS-LSTM,Zero Return,3402,2.3960550496196618,0.016572601098162165,179,False
6M,180,Historical Mean,Historical Median,3402,0.16752686175401174,0.8669555135574316,179,False
6M,180,Historical Mean,LSTM,3402,-0.3624457196992069,0.7170189792459882,179,False
6M,180,Historical Mean,Majority Direction,3402,-2.781675227902013,0.005407912781923985,179,False
6M,180,Historical Mean,OLS,3402,-2.5667772334736982,0.010264853357508708,179,False
6M,180,Historical Mean,Persistence Direction,3402,-1.4828190477765628,0.13812249389914077,179,False
6M,180,Historical Mean,Random Walk with Drift,3402,,,179,False
6M,180,Historical Mean,VS-LSTM,3402,-0.4022718191355597,0.6874839919646525,179,False
6M,180,Historical Mean,Zero Return,3402,0.028127043744565296,0.9775608248138385,179,False
6M,180,Historical Median,LSTM,3402,-0.39537499251079117,0.6925661618974801,179,False
6M,180,Historical Median,Majority Direction,3402,-2.619252643074214,0.008812265612328174,179,False
6M,180,Historical Median,OLS,3402,-2.5146051747315696,0.011916575296841758,179,False
6M,180,Historical Median,Persistence Direction,3402,-1.5838457111011854,0.11322883414189144,179,False
6M,180,Historical Median,Random Walk with Drift,3402,-0.16752686175401174,0.8669555135574316,179,False
6M,180,Historical Median,VS-LSTM,3402,-0.43335328394689615,0.664758133564046,179,False
6M,180,Historical Median,Zero Return,3402,0.01656287869238553,0.9867853390056709,179,False
6M,180,LSTM,Majority Direction,3402,-1.1514025021483736,0.24956668493552758,179,False
6M,180,LSTM,OLS,3402,-1.936748251404616,0.05277612440650681,179,False
6M,180,LSTM,Persistence Direction,3402,-2.4464831749315383,0.01442575302806648,179,False
6M,180,LSTM,Random Walk with Drift,3402,0.3624457196992069,0.7170189792459882,179,False
6M,180,LSTM,VS-LSTM,3402,-0.0861716632619765,0.9313299563391577,179,False
6M,180,LSTM,Zero Return,3402,0.6017813019940241,0.5473197230026801,179,False
6M,180,Majority Direction,OLS,3402,-1.7658683101556223,0.07741794486378262,179,False
6M,180,Majority Direction,Persistence Direction,3402,0.4190503481180921,0.6751793367308474,179,False
6M,180,Majority Direction,Random Walk with Drift,3402,2.781675227902013,0.005407912781923985,179,False
6M,180,Majority Direction,VS-LSTM,3402,1.1367278549868807,0.25565207102815934,179,False
6M,180,Majority Direction,Zero Return,3402,1.1266773127746856,0.2598789379758495,179,False
6M,180,OLS,Persistence Direction,3402,1.3852494743331734,0.16597619738463054,179,False
6M,180,OLS,Random Walk with Drift,3402,2.5667772334736982,0.010264853357508708,179,False
6M,180,OLS,VS-LSTM,3402,1.8647999236700044,0.062209454013166576,179,False
6M,180,OLS,Zero Return,3402,1.7888913318799122,0.07363231805659964,179,False
6M,180,Persistence Direction,Random Walk with Drift,3402,1.4828190477765628,0.13812249389914077,179,False
6M,180,Persistence Direction,VS-LSTM,3402,2.471862725546735,0.013441111797573457,179,False
6M,180,Persistence Direction,Zero Return,3402,5.136444445000633,2.7998506713089455e-07,179,False
