horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
12M,365,OLS,Zero Return,3032,1.2093533302678,0.2265271302869336,364,False
12M,365,Persistence Direction,Random Walk with Drift,3032,2.354722108059352,0.018536562214254815,364,False
12M,365,Persistence Direction,VS-LSTM,3032,6.262767197174461,3.7820502285512703e-10,364,False
12M,365,Persistence Direction,Zero Return,3032,5.618738248333832,1.9235701254061155e-08,364,False
12M,365,Random Walk with Drift,VS-LSTM,3032,-0.20970168253819857,0.833900512257697,364,False
12M,365,Random Walk with Drift,Zero Return,3032,-0.3501206906751531,0.7262481235403708,364,False
12M,365,VS-LSTM,Zero Return,3032,-0.6631659867622808,0.5072242528151056,364,False
15D,15,ARIMA,Adaptive Ensemble,3732,0.3170063963762124,0.7512387487798164,16,False
15D,15,ARIMA,GLS,3732,-6.85686440961925,7.0388139761234925e-12,16,False
15D,15,ARIMA,GLS-LSTM,3732,-3.2553260349319397,0.0011326226105192738,16,False
15D,15,ARIMA,Historical Mean,3732,1.0699096793900107,0.2846599657776814,16,False
15D,15,ARIMA,Historical Median,3732,1.5095571386003563,0.13115646509444923,16,False
15D,15,ARIMA,LSTM,3732,0.5851961793208105,0.5584158136191197,16,False
15D,15,ARIMA,Majority Direction,3732,-7.156436157508567,8.280043317654417e-13,16,False
15D,15,ARIMA,OLS,3732,-1.8949095237621834,0.05810438922676209,16,False
15D,15,ARIMA,Persistence Direction,3732,1.0546323611177517,0.29159349741040685,16,False
15D,15,ARIMA,Random Walk with Drift,3732,1.0699096793900107,0.2846599657776814,16,False
15D,15,ARIMA,VS-LSTM,3732,0.3211661222459734,0.74808450381105,16,False
15D,15,ARIMA,Zero Return,3732,1.1735538427512713,0.24057377845092986,16,False
15D,15,Adaptive Ensemble,GLS,3732,-6.858423046287672,6.962430632029282e-12,16,False
15D,15,Adaptive Ensemble,GLS-LSTM,3732,-3.274842436597843,0.001057209214230248,16,False
15D,15,Adaptive Ensemble,Historical Mean,3732,0.3385296027744723,0.7349641227646881,16,False
15D,15,Adaptive Ensemble,Historical Median,3732,0.6358792457033644,0.5248551309840321,16,False
15D,15,Adaptive Ensemble,LSTM,3732,0.04074464587687361,0.9674994688651988,16,False
15D,15,Adaptive Ensemble,Majority Direction,3732,-6.407799002702209,1.47635459413209e-10,16,False
15D,15,Adaptive Ensemble,OLS,3732,-1.5471810028439195,0.12181960552913629,16,False
15D,15,Adaptive Ensemble,Persistence Direction,3732,0.3359206285124934,0.7369307207672819,16,False
15D,15,Adaptive Ensemble,Random Walk with Drift,3732,0.3385296027744723,0.7349641227646881,16,False
15D,15,Adaptive Ensemble,VS-LSTM,3732,-0.13026378700871585,0.8963577296819611,16,False
15D,15,Adaptive Ensemble,Zero Return,3732,0.49371548617943045,0.6215071267965047,16,False
15D,15,GLS,GLS-LSTM,3732,6.629371254304879,3.371192214274288e-11,16,False
15D,15,GLS,Historical Mean,3732,6.857690065281319,6.998179813422212e-12,16,False
15D,15,GLS,Historical Median,3732,6.857916859663505,6.987299627780885e-12,16,False
15D,15,GLS,LSTM,3732,6.857207433649827,7.02193858614919e-12,16,False
15D,15,GLS,Majority Direction,3732,6.847507478222768,7.51487760908276e-12,16,False
15D,15,GLS,OLS,3732,6.855495634757226,7.106537580625627e-12,16,False
15D,15,GLS,Persistence Direction,3732,6.857639215422518,7.000844348681312e-12,16,False
15D,15,GLS,Random Walk with Drift,3732,6.857690065281319,6.998179813422212e-12,16,False
15D,15,GLS,VS-LSTM,3732,6.857036160068275,7.030376281136341e-12,16,False
15D,15,GLS,Zero Return,3732,6.857716465845227,6.9970695903975866e-12,16,False
15D,15,GLS-LSTM,Historical Mean,3732,3.2628345768033666,0.001103038849493032,16,False
15D,15,GLS-LSTM,Historical Median,3732,3.2659784130781544,0.0010908656494372782,16,False
15D,15,GLS-LSTM,LSTM,3732,3.2598747111757462,0.0011146143895752747,16,False
15D,15,GLS-LSTM,Majority Direction,3732,3.1501422075504983,0.0016319100743449333,16,False
15D,15,GLS-LSTM,OLS,3732,3.240785587489914,0.00119200804708397,16,False
15D,15,GLS-LSTM,Persistence Direction,3732,3.263264714757094,0.0011013659335019632,16,False
15D,15,GLS-LSTM,Random Walk with Drift,3732,3.2628345768033666,0.001103038849493032,16,False
15D,15,GLS-LSTM,VS-LSTM,3732,3.2580776201673123,0.0011216972061360853,16,False
15D,15,GLS-LSTM,Zero Return,3732,3.264960543572472,0.001094793257517157,16,False
15D,15,Historical Mean,Historical Median,3732,1.8146395038581218,0.06957932749173845,16,False
15D,15,Historical Mean,LSTM,3732,-0.9049629206270694,0.36548503122735476,16,False
15D,15,Historical Mean,Majority Direction,3732,-9.151817757541194,0.0,16,False
15D,15,Historical Mean,OLS,3732,-4.1832430947176995,2.8737980823034803e-05,16,False
15D,15,Historical Mean,Persistence Direction,3732,0.0029519552413705317,0.9976446839094495,16,False
15D,15,Historical Mean,Random Walk with Drift,3732,,,16,False
15D,15,Historical Mean,VS-LSTM,3732,-1.3160178622460788,0.18816804747476001,16,False
15D,15,Historical Mean,Zero Return,3732,0.40182010625508746,0.6878164238290423,16,False
15D,15,Historical Median,LSTM,3732,-2.6693886017087616,0.007598947552385438,16,False
15D,15,Historical Median,Majority Direction,3732,-8.305983838322518,0.0,16,False
15D,15,Historical Median,OLS,3732,-4.0496026904869655,5.13046613188628e-05,16,False
15D,15,Historical Median,Persistence Direction,3732,-1.2086836380165187,0.22678441005613048,16,False
15D,15,Historical Median,Random Walk with Drift,3732,-1.8146395038581218,0.06957932749173845,16,False
15D,15,Historical Median,VS-LSTM,3732,-2.402939031140979,0.01626389876452561,16,False
15D,15,Historical Median,Zero Return,3732,-0.507007635602769,0.6121494610347578,16,False
15D,15,LSTM,Majority Direction,3732,-7.214498849867425,5.413447468072263e-13,16,False
15D,15,LSTM,OLS,3732,-2.57434895988623,0.010042892487227117,16,False
15D,15,LSTM,Persistence Direction,3732,1.2110055180510773,0.22589328987995128,16,False
15D,15,LSTM,Random Walk with Drift,3732,0.9049629206270694,0.36548503122735476,16,False
15D,15,LSTM,VS-LSTM,3732,-0.48391068667081166,0.6284492557540782,16,False
15D,15,LSTM,Zero Return,3732,1.9765893757481445,0.048088064040628264,16,False
15D,15,Majority Direction,OLS,3732,8.458885391780749,0.0,16,False
15D,15,Majority Direction,Persistence Direction,3732,7.059380785657921,1.6724399642953358e-12,16,False
15D,15,Majority Direction,Random Walk with Drift,3732,9.151817757541194,0.0,16,False
15D,15,Majority Direction,VS-LSTM,3732,7.3541070701859494,1.9229062786507711e-13,16,False
15D,15,Majority Direction,Zero Return,3732,6.949075053831906,3.6768366129535934e-12,16,False
15D,15,OLS,Persistence Direction,3732,2.8434921242369944,0.00446221121946988,16,False
15D,15,OLS,Random Walk with Drift,3732,4.1832430947176995,2.8737980823034803e-05,16,False
15D,15,OLS,VS-LSTM,3732,2.432150386216003,0.015009473923140337,16,False
