horizon,horizon_days,forecast_origins,fit_count,fit_count_current_session,resumed_from_checkpoint,total_horizon_runtime_sec,ARIMA_fit_sec,OLS_fit_sec,GLS_fit_sec,LSTM_fit_sec,VS_LSTM_fit_sec,GLS_LSTM_fit_sec,V6_2_1_resume_enabled,V6_2_1_checkpoint_every,python_version,platform,processor,machine,numpy_version,pandas_version,scipy_version,statsmodels_version,tensorflow_available,tensorflow_version,GPU_count,GPU_devices,random_seed,initial_train,retrain_every,LSTM_epochs_max,LSTM_batch_size,LSTM_early_stopping_patience,GLSAR_maxiter,ARIMA_order,MCS_B,robustness_bootstrap_B,notes
15D,15,3732,150,150,False,9362.647790899966,76.07921570021426,2.122701799729839,5.648789600352757,2028.0856680004508,2054.249139699852,2500.118963800021,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
1M,30,3702,149,149,False,10959.414690500009,101.59567019995302,2.095357699843589,5.551264399953652,1816.2867095000693,2136.9243912998354,2732.690245500591,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
2M,60,3642,146,146,False,13740.818404300022,62.898709500499535,2.374072599748615,5.240230399882421,2435.610594100028,2389.7062545002555,2999.9776391002238,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
3M,90,3582,144,144,False,16416.92573919997,105.70180579985026,6.108916299883276,5.482706800161395,2712.6378832001938,2798.730270299886,3010.585713599983,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
6M,180,3402,138,92,True,5321.235537900007,81.92523119976977,1.2931388998404145,3.7059581999783404,1447.768219999678,1383.4163603003835,1008.0617000998463,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
12M,365,3032,122,122,False,7589.478464999993,37.51530479971552,1.6059301001369022,4.3330444997991435,1879.9081659992225,1695.1325389001868,1244.2527690000716,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
24M,730,2302,93,93,False,6281.80014549999,27.179174899996724,1.2101102996966802,2.929182200343348,1364.0643842000281,1273.8805711996392,815.8126127998694,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
36M,1095,1572,63,63,False,5141.9162846999825,16.070557699888013,0.8453565996605903,1.9456238002167083,974.3269931999967,972.5087087997817,911.4688726998866,True,100,"3.13.2 (tags/v3.13.2:4f8bb39, Feb  4 2025, 15:23:48) [MSC v.1942 64 bit (AMD64)]",Windows-10-10.0.19045-SP0,"Intel64 Family 6 Model 42 Stepping 7, GenuineIntel",AMD64,2.3.3,2.3.3,1.16.2,0.14.6,True,2.21.0,0,[],20260819,1000,25,40,32,6,8,"(1, 0, 1)",1000,10000,Primary full run uses one prespecified seed; multi-seed sensitivity is reported separately to avoid multiplying the main full-run cost.
