horizon,horizon_days,n,ADF_stat,ADF_p,ADF_1pct,ADF_5pct,ADF_10pct,KPSS_stat,KPSS_p,KPSS_1pct,KPSS_5pct,KPSS_10pct
15D,15,4746,-8.004111951359386,2.292072039358623e-12,-3.4317379644584283,-2.8621533220147395,-2.567096473458761,0.13594471933193608,0.1,0.739,0.463,0.347
1M,30,4731,-6.175912558457375,6.631546753161718e-08,-3.431742694041876,-2.862155411462047,-2.567097585762879,0.12997723459816188,0.1,0.739,0.463,0.347
2M,60,4701,-6.798650880281805,2.26661165655823e-09,-3.431751349078215,-2.862159235097244,-2.567099621252465,0.15197713598911552,0.1,0.739,0.463,0.347
3M,90,4671,-5.764338655380466,5.577714700863622e-07,-3.431760112362477,-2.862163106543053,-2.5671016821956747,0.19486931218140174,0.1,0.739,0.463,0.347
6M,180,4581,-4.204576428043151,0.0006472451297407046,-3.431788020454428,-2.8621754357106632,-2.567108245574206,0.5269756515911018,0.03559106946146355,0.739,0.463,0.347
12M,365,4396,-2.8322001023049204,0.053819382457471796,-3.431849003381197,-2.862202376194737,-2.5671225872916525,1.3087905113828264,0.01,0.739,0.463,0.347
24M,730,4031,-1.7407608183138081,0.4102430053055145,-3.4319817932605345,-2.8622610369951085,-2.567153815585724,3.016380925975082,0.01,0.739,0.463,0.347
36M,1095,3666,-1.750115523072454,0.40549378092871946,-3.4321497586963647,-2.8623352330844547,-2.5671933147833483,4.104031634215091,0.01,0.739,0.463,0.347
