horizon,horizon_days,best_nonensemble_model,AE_RMSE,best_nonensemble_RMSE,RMSE_improvement_pct,n,DM_HAC,p_value_two_sided,p_value_one_sided_AE_better,HAC_bandwidth,decision_alpha_0.05
12M,365,Historical Median,52.37780848314349,100.51443237860079,47.89026088725686,3032,-2.964661664761146,0.0030301598373847494,0.001515079918692377,364,True
15D,15,Historical Median,14.93727341708658,14.606512443379692,-2.2644760341596983,3732,0.6358792457033644,0.5248551309840321,0.7375724345079839,16,False
1M,30,Historical Median,21.00323464444434,21.67230646543932,3.087220190716404,3702,-1.5493343423022883,0.12130136827369498,0.06065068413684752,29,False
24M,730,LSTM,42.08174798570141,119.01720127397087,64.64229747023575,2302,-1.785813111075296,0.07412952313830168,0.037064761569150825,729,True
2M,60,Historical Median,29.61867407006924,32.75312688949848,9.569934589769597,3642,-3.8559952887661573,0.0001152597073321715,5.7629853666050616e-05,59,True
36M,1095,LSTM,37.12088470052458,97.27989050850252,61.84115287703771,1572,-6.135388091520757,8.495155690013689e-10,4.247577479881895e-10,1094,True
3M,90,Historical Median,34.95789631804198,42.58198741018529,17.90449801861452,3582,-5.362885768459967,8.190280520459225e-08,4.095140255215107e-08,89,True
6M,180,Zero Return,46.87883545426791,66.95383259175877,29.983342790688667,3402,-2.887222344824313,0.0038865946916137872,0.0019432973458069188,179,True
