date,active_addresses,transactions,difficulty,hashrate,block_size,transaction_value,avg_transaction_value,price,return_log_pct,return_simple_pct,lag1_price,lag1_return,rolling_vol_7d,rolling_vol_30d,day_of_week,month,year,target_price_t1,target_return_t1
2011-05-14,8975.0,4172.0,157416.0,1821300833892.0,7606.0,3101.0,86.584,7.659,5.363934862475272,5.510400881664124,7.259,20.81375443133694,8.582474780961526,7.961728713582889,5,5,2011,6.995,-9.068581881001196
2011-05-15,8317.0,3550.0,157416.0,1815660700291.0,7677.0,578.231,106.388,6.995,-9.068581881001196,-8.66953910432171,7.659,5.363934862475272,11.44048809282494,8.447673375525413,6,5,2011,7.512,7.130613378851715
2011-05-16,11771.0,4102.0,157416.0,1806451438468.0,7941.0,480.441,112.678,7.512,7.130613378851715,7.390993566833437,6.995,-9.068581881001196,11.102206951529324,8.408752158785447,0,5,2011,7.62,1.427462779259325
2011-05-17,10497.0,4207.0,157416.0,1986696381247.0,7332.0,365.025,118.415,7.62,1.427462779259325,1.4376996805111952,7.512,7.130613378851715,9.762275574675112,8.462521570852033,1,5,2011,7.036,-7.97365428232432
2011-05-18,12939.0,5293.0,162534.0,2220723431405.0,8108.0,228.173,81.612,7.036,-7.97365428232432,-7.664041994750659,7.62,1.427462779259325,10.082564146002301,8.866524453223462,2,5,2011,6.756,-4.060882792975806
2011-05-19,11998.0,4492.0,244112.0,2574945199348.0,11485.0,263.062,74.213,6.756,-4.060882792975806,-3.979533826037518,7.036,-7.97365428232432,10.41334650446989,9.037023216096788,3,5,2011,6.198,-8.620433957999717
2011-05-20,11600.0,4575.0,244112.0,2530697109143.0,9384.0,446.433,148.994,6.198,-8.620433957999717,-8.259325044404974,6.756,-4.060882792975806,6.863020070778136,9.323756005244078,4,5,2011,5.96,-3.9156178288298134
2011-05-21,10772.0,4744.0,244112.0,2587868140032.0,8926.0,785.14,186.619,5.96,-3.9156178288298134,-3.839948370442081,6.198,-8.620433957999717,5.98568361394814,9.452482264756451,5,5,2011,6.415,7.35685169903413
2011-05-22,10834.0,5030.0,244112.0,3010543593471.0,8084.0,1067.0,128.397,6.415,7.35685169903413,7.634228187919456,5.96,-3.9156178288298134,6.658547344396048,9.405750150024,6,5,2011,6.92,7.577677156197844
2011-05-23,12092.0,5459.0,244112.0,3160308960901.0,8098.0,551.964,102.9,6.92,7.577677156197844,7.872174590802805,6.415,7.35685169903413,6.75364244128698,9.174744709852474,0,5,2011,7.285,5.140167001759007
2011-05-24,13185.0,5566.0,244112.0,3530004408998.0,7590.0,440.17,143.425,7.285,5.140167001759007,5.274566473988451,6.92,7.577677156197844,7.127319177626731,9.117304304780676,1,5,2011,7.945,8.672536034151118
2011-05-25,14562.0,5951.0,244112.0,3680706371310.0,8473.0,484.642,139.987,7.945,8.672536034151118,9.059711736444754,7.285,5.140167001759007,7.050099397167061,8.846945607559288,2,5,2011,8.524,7.034291424769118
2011-05-26,14476.0,6671.0,277625.0,4313159705965.0,9552.0,505.188,148.405,8.524,7.034291424769118,7.28760226557581,7.945,8.672536034151118,6.771394751687968,8.852198505135098,3,5,2011,8.6,0.8876489023091418
2011-05-27,10813.0,4686.0,434877.0,4935451648419.0,11232.0,950.378,146.934,8.6,0.8876489023091418,0.8916001877053104,8.524,7.034291424769118,4.573900969244658,8.866167695306425,4,5,2011,8.425,-2.055872702103655
2011-05-28,11640.0,4858.0,434877.0,3567628139704.0,12685.0,378.074,151.651,8.425,-2.055872702103655,-2.034883720930225,8.6,0.8876489023091418,4.010820519479888,8.899317672122942,5,5,2011,8.35,-0.8941937375661393
2011-05-29,11196.0,4573.0,434877.0,3551605108545.0,10621.0,467.276,156.396,8.35,-0.8941937375661393,-0.8902077151335397,8.425,-2.055872702103655,4.379298932609969,8.33973332499886,6,5,2011,8.624,3.2287475303877295
2011-05-30,12750.0,5183.0,434877.0,3540022661788.0,14269.0,434.997,162.91,8.624,3.2287475303877295,3.2814371257485098,8.35,-0.8941937375661393,4.044085061330054,7.494370279975778,0,5,2011,8.771,1.6901810802603254
2011-05-31,14046.0,5913.0,434877.0,3332414808971.0,17075.0,405.166,145.419,8.771,1.6901810802603254,1.7045454545454586,8.624,3.2287475303877295,3.9699193055459374,7.493722291218018,1,5,2011,9.156,4.295857712107566
2011-06-01,13981.0,6352.0,434877.0,3625982310687.0,14496.0,380.192,164.891,9.156,4.295857712107566,4.3894652833200265,8.771,1.6901810802603254,3.11661326168712,7.3784833568448525,2,6,2011,10.1,9.812602175689332
2011-06-02,15519.0,6946.0,434877.0,4182716592615.0,16036.0,500.788,156.63,10.1,9.812602175689332,10.310179117518548,9.156,4.295857712107566,3.9311034220970362,7.463668517416496,3,6,2011,12.445,20.878351197234153
